id,nombre,año,genero
1,Shazam,2686120,Aventura | Comedia
2,Parque magico,2686120,Aventura | Animacion | Comedia
3,Dumbo,2686120,Fantasia | Aventura | Familiar
4,Capitana Marvel,2686120,Ciencia ficcion | Accion | Aventura
5,Como entrenar a tu dragon 3,2686120,Aventura | Animacion | Accion
6,La gran aventura Lego 2,2686120,Aventura | Animacion | Accion
7,Bumblebee,2686120,Ciencia ficcion | Accion | Aventura
8,Aquaman,2686120,Fantasia | Accion | Aventura
9,El regreso de Mary Poppins,2686120,Fantasia | Comedia | Familiar
10,Spider-Man - Un nuevo universo,2686120,Aventura | Animacion | Accion
11,Animales Fantasticos - Los crímenes de Grindelwald,2686120,Familiar | Fantasia | Aventura
12,Wifi Ralph,2686120,Aventura | Comedia | Animacion
13,El Grinch 2,2686120,Comedia | Infantil | Animacion
14,El cascanueces y los cuatro reinos,2686120,Infantil | Fantasia | Aventura
15,La casa con un reloj en sus paredes,2686120,Infantil | Fantasia | Comedia
16,Mowgli - Relatos del libro de la selva,2686120,Drama | Aventura
17,Venom,2686120,Ciencia ficcion | Accion
18,Pie Pequeño,2686120,Aventura | Comedia | Animacion
19,Las cronicas de Navidad,2686120,Comedia | Infantil | Aventura
20,Los Increibles 2,2686120,Accion | Aventura | Animacion
21,Jovenes Titanes en accion - La película,2686120,Animacion | Accion | Comedia
22,Christopher Robin - Un reencuentro inolvidable,2686120,Animacion | Aventura | Comedia
23,Ant-Man and the Wasp,2686120,Accion | Aventura | Ciencia ficcion
24,Hotel Transylvania 3 - Monstruos de vacaciones,2686120,Animacion | Aventura | Comedia
25,Han Solo - Una historia de Star Wars,2686120,Accion | Aventura | Fantasia
26,Jurassic World - El reino caido,2686120,Accion | Aventura | Ciencia ficcion
27,Mazinger Z - Infinity,2686120,Animacion | Accion | Ciencia ficcion
28,Deadpool 2,2686120,Accion | Aventura | Comedia
29,Avengers - Infinity War,2686120,Accion | Aventura | Fantasia
30,Sherlock Gnomes,2686120,Animacion | Aventura | Comedia
